City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,guane,22.2025,-84.0875,16.69,71,0,2.09,CU,1712488383
258,imbituba,-28.24,-48.6703,24.36,78,98,5.63,BR,1712488383
259,kurumkan,54.3,110.3,2.85,34,25,0.89,RU,1712488383
260,santa isabel,-23.3156,-46.2214,20.61,86,93,2.35,BR,1712488128
261,fallon,39.4735,-118.7774,0.93,69,100,2.06,US,1712488216
262,axim,4.8699,-2.2405,31.2,64,48,3.39,GH,1712488384
263,bhimunipatnam,17.8833,83.4333,31.0,58,11,8.95,IN,1712488384
264,buzuluk,52.7807,52.2635,12.2,66,55,4.02,RU,1712488384
265,rampur,28.8167,79.0333,32.28,4,0,4.29,IN,1712488314
266,avarua,-21.2078,-159.775,24.03,100,100,1.03,CK,1712488385
267,kilju,40.9642,129.3278,12.13,57,20,1.02,KP,1712488385
268,portland,45.5234,-122.6762,7.99,94,100,1.54,US,1712488230
269,margate,51.3813,1.3862,14.93,60,0,7.15,GB,1712488264
270,freetown,8.484,-13.2299,29.46,62,100,1.68,SL,1712488385
271,itoman,26.1247,127.6694,23.43,96,100,4.63,JP,1712488385
272,kasane,-17.8167,25.15,32.14,38,100,3.41,BW,1712488386
273,beloyarskiy,63.7119,66.6722,-3.33,75,100,5.81,RU,1712488386
274,keflavik,64.0049,-22.5624,0.24,64,75,14.4,IS,1712488386
275,upington,-28.4478,21.2561,21.63,24,0,5.88,ZA,1712488249
276,road town,18.4167,-64.6167,26.02,89,20,0.0,VG,1712488156
277,kamenka,51.3223,42.7678,13.92,57,70,3.58,RU,1712488386
278,petauke,-14.2426,31.3253,24.31,72,100,3.45,ZM,1712488386
279,gisborne,-38.6533,178.0042,11.64,87,2,2.46,NZ,1712488087
280,qaqortoq,60.7167,-46.0333,-2.24,95,100,2.14,GL,1712488387
281,coahuayana de hidalgo,18.7,-103.6583,20.26,53,16,1.52,MX,1712488387
282,dargecit,37.5454,41.7197,19.16,65,100,2.7,TR,1712488387
283,les cayes,18.2,-73.75,24.42,84,0,2.26,HT,1712488387
284,georgetown,5.4112,100.3354,32.96,46,20,2.57,MY,1712488273
285,egilsstadir,65.2653,-14.3948,-0.22,96,100,12.51,IS,1712488115
286,east london,-33.0153,27.9116,19.15,84,100,8.59,ZA,1712488262
287,kumylzhenskaya,49.8809,42.5898,15.77,42,96,1.03,RU,1712488387
288,tolanaro,-25.0319,46.9987,26.76,75,25,2.96,MG,1712488388
289,colby,39.3958,-101.0524,7.24,49,100,16.98,US,1712488388
290,uturoa,-16.7333,-151.4333,29.15,76,91,5.31,PF,1712488388
291,el gouna,27.3942,33.6782,26.24,34,0,9.06,EG,1712488388
292,germantown,39.1732,-77.2717,6.05,78,0,0.89,US,1712488388
293,vanimo,-2.6741,141.3028,26.89,90,94,3.31,PG,1712488388
294,bubaque,11.2833,-15.8333,25.3,59,52,3.92,GW,1712488388
295,luderitz,-26.6481,15.1594,18.5,67,10,3.84,NA,1712488097
296,dellys,36.9172,3.9131,25.15,39,99,2.46,DZ,1712488337
297,prado,-17.3411,-39.2208,24.89,70,21,2.78,BR,1712488389
298,timaru,-44.4,171.25,10.6,92,7,2.24,NZ,1712488092
299,choyr,46.3611,108.3611,10.96,43,99,2.97,MN,1712488389
300,abra pampa,-22.7205,-65.697,11.36,73,52,1.75,AR,1712488356
301,montelibano,7.9829,-75.4229,25.31,93,97,2.35,CO,1712488390
302,parun,35.4207,70.9221,3.14,42,1,3.16,AF,1712488390
303,mukalla,14.5425,49.1242,29.5,50,8,3.93,YE,1712488390
304,manicore,-5.8092,-61.3003,23.74,98,96,0.42,BR,1712488390
305,tual,-5.6667,132.75,28.69,77,92,3.12,ID,1712488390
306,tura,25.5198,90.2201,36.07,16,61,3.5,IN,1712488390
307,arawa,-6.2132,155.5367,25.26,98,100,2.04,PG,1712488390
308,dwarka,22.2394,68.9678,27.84,64,0,6.92,IN,1712488390
309,adis zemen,12.1167,37.7833,27.07,27,67,3.38,ET,1712488391
310,anori,-3.7728,-61.6442,23.87,99,91,0.38,BR,1712488391
311,acarau,-2.8856,-40.12,26.16,88,100,2.15,BR,1712488150
312,ar rutbah,33.0381,40.2848,23.36,20,0,6.27,IQ,1712488391
313,las tablas,7.7667,-80.2833,26.76,99,93,3.49,PA,1712488391
314,urangan,-25.3,152.9,24.0,88,27,2.68,AU,1712488391
315,ishinomaki,38.4167,141.3,16.0,98,57,0.58,JP,1712488391
316,komusan il-tong,42.1092,129.7,10.25,50,42,1.26,KP,1712488392
317,thinadhoo,0.5333,72.9333,29.4,73,100,2.91,MV,1712488392
318,island harbour,50.724,-1.2758,15.82,76,12,6.71,GB,1712488392
319,dryden,49.7833,-92.7503,-1.68,84,81,3.15,CA,1712488392
320,bikenibeu village,1.3673,173.1241,28.15,84,71,8.79,KI,1712488392
321,anshun,26.25,105.9333,11.69,84,100,4.28,CN,1712488392
322,mugia,43.1041,-9.2179,16.06,75,4,7.64,ES,1712488392
323,mulanje,-16.0316,35.5,28.7,63,58,3.27,MW,1712488392
324,ciudad melchor muzquiz,27.8833,-101.5167,21.88,24,63,2.37,MX,1712488392
325,barra de santo antonio,-9.4047,-35.5072,27.6,74,38,0.64,BR,1712488321
326,darwin,-12.4611,130.8418,28.99,79,20,1.54,AU,1712488205
327,mount darwin,-16.7725,31.5838,31.0,35,40,4.27,ZW,1712488393
328,toliara,-23.35,43.6667,29.85,64,11,8.62,MG,1712488393
329,padang,-0.9492,100.3543,31.03,87,100,0.52,ID,1712488393
330,afif,23.9065,42.9172,29.78,32,57,7.04,SA,1712488393
331,jalai nur,49.45,117.7,-4.84,42,0,2.63,CN,1712488393
332,niihama,33.9593,133.3167,16.18,83,100,1.16,JP,1712488393
333,vazante,-17.9869,-46.9078,22.44,74,38,1.32,BR,1712488394
334,tuy hoa,13.0833,109.3,26.64,80,12,3.49,VN,1712488394
335,shalkar,47.8288,59.6258,18.34,37,66,7.67,KZ,1712488394
336,chilca,-12.5211,-76.7372,21.2,92,100,1.38,PE,1712488394
337,amursk,50.2261,136.8994,1.66,76,72,2.63,RU,1712488394
338,touros,-5.1989,-35.4608,25.51,91,100,2.96,BR,1712488263
339,kimbe,-5.5502,150.1429,25.43,94,100,0.26,PG,1712488394
340,taoudenni,22.6783,-3.9836,37.58,5,0,2.61,ML,1712488394
341,tutoia,-2.7619,-42.2744,24.01,97,100,2.43,BR,1712488277
342,saudarkrokur,65.7461,-19.6394,-1.18,84,100,13.38,IS,1712488395
343,loralai,30.3705,68.598,26.27,9,0,0.99,PK,1712488395
344,shirvan,39.9509,48.8994,17.12,49,100,4.48,AZ,1712488395
345,mount airy,36.4993,-80.6073,4.48,86,0,2.68,US,1712488166
346,vodice,43.7608,15.7828,21.98,67,4,6.11,HR,1712488395
347,bulungu,-4.55,18.6,28.84,64,90,1.81,CD,1712488395
348,krasnaya gorbatka,55.8703,41.7641,12.45,62,100,4.33,RU,1712488396
349,katsuren-haebaru,26.3369,127.8719,23.43,95,100,4.63,JP,1712488396
350,ijui,-28.3878,-53.9147,20.82,89,100,3.21,BR,1712488396
351,brak,27.5496,14.2714,28.15,10,0,4.74,LY,1712488396
352,malazgirt,39.1427,42.5401,7.41,84,100,4.38,TR,1712488396
353,dubai,25.2582,55.3047,32.16,26,0,5.66,AE,1712487668
354,sinop,41.7711,34.8709,13.11,50,4,5.3,TR,1712488396
355,fada,9.5667,8.3,36.9,27,59,1.52,NG,1712488396
356,sola,-13.8833,167.55,27.92,79,92,8.58,VU,1712488397
357,kristinestad,62.2743,21.376,3.39,97,100,8.89,FI,1712488397
358,ta`u,-14.2336,-169.5144,28.84,78,33,4.1,AS,1712488397
359,vilyuchinsk,52.9306,158.4028,1.07,79,97,2.9,RU,1712488397
360,kingston,17.997,-76.7936,26.53,85,20,1.54,JM,1712488378
361,new norfolk,-42.7826,147.0587,14.72,98,100,0.97,AU,1712488397
362,pandan,14.0453,124.1694,26.1,80,36,4.36,PH,1712488398
363,fisterra,42.9049,-9.2629,15.97,79,6,7.31,ES,1712488398
